date | value
2015-02-28 | 08
2010-05-05 | 56.
2010-05-05 | .56
2010-05-05 | .56.9
aaaa-aa-aa | a
2010-aa-20 | 1000.00
2010-aa-20 | 1000.0000001
2009-01-05 | 5
2009-01-01 | 5
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2023-01-01 | 3
2024-01-01 | 4
2024-02-07 | 4
2012-01-11 | 2147483648
2012-01-11 | 2147483648888888888888888888888888888888888888888888888
2010-05-10 | 
| | |
2008-99-99 | 66
2009-16-05 | 05
2009-05-99 | 98
....-..-.. | 55
600-09-098 | 02
2023-04-29 | 4
2023-07-28 | 4
2022-08-29 | 4
2022-04-31 | 4
2022-04-30 | 1000
2022-04-30 | 10.0.0
